央视频,#genre#
CCTV1,http://127.0.0.1:35345/ysptp/cctv1.m3u8
CCTV2,http://127.0.0.1:35345/ysptp/cctv2.m3u8
CCTV3,http://127.0.0.1:35345/ysptp/cctv3.m3u8
CCTV4,http://127.0.0.1:35345/ysptp/cctv4.m3u8
CCTV5,http://127.0.0.1:35345/ysptp/cctv5.m3u8
CCTV5,http://127.0.0.1:35345/ysptp/cctv5p.m3u8
CCTV7,http://127.0.0.1:35345/ysptp/cctv7.m3u8
CCTV8,http://127.0.0.1:35345/ysptp/cctv8.m3u8
CCTV9,http://127.0.0.1:35345/ysptp/cctv9.m3u8
CCTV10,http://127.0.0.1:35345/ysptp/cctv10.m3u8
CCTV11,http://127.0.0.1:35345/ysptp/cctv11.m3u8
CCTV12,http://127.0.0.1:35345/ysptp/cctv12.m3u8
CCTV13,http://127.0.0.1:35345/ysptp/cctv13.m3u8
CCTV14,http://127.0.0.1:35345/ysptp/cctv14.m3u8
CCTV15,http://127.0.0.1:35345/ysptp/cctv15.m3u8
CCTV16,http://127.0.0.1:35345/ysptp/cctv16.m3u8
CCTV16-4k,http://127.0.0.1:35345/ysptp/cctv4k16_10m.m3u8
CCTV16-4k,http://127.0.0.1:35345/ysptp/cctv4k16_10m.m3u8
CCTV16-4k,http://127.0.0.1:35345/ysptp/cctv4k16.m3u8
CCTV17,http://127.0.0.1:35345/ysptp/cctv17.m3u8
CCTV4k,http://127.0.0.1:35345/ysptp/cctv4k_10m.m3u8
CCTV4k,http://127.0.0.1:35345/ysptp/cctv4k.m3u8
CCTV8k,http://127.0.0.1:35345/ysptp/cctv8k_36m.m3u8
CCTV8k,http://127.0.0.1:35345/ysptp/cctv8k_120m.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
CGTNALBY,http://192.168.2.3:35455/ysptp/cgtnar.m3u8
CGTNdocumentary,http://192.168.2.3:35455/ysptp/cgtndoc.m3u8
CGTNEN,http://192.168.2.3:35455/ysptp/cgtnen.m3u8
CGTNfrench,http://192.168.2.3:35455/ysptp/cgtnfr.m3u8
CGTNru,http://192.168.2.3:35455/ysptp/cgtnru.m3u8
CGTNsp,http://192.168.2.3:35455/ysptp/cgtnsp.m3u8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8

湾湾直播,#genre#
中天新闻,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中天新闻,https://stream1.freetv.fun/zhong-tian-xin-wen-3.m3u8
中天新闻,https://stream1.freetv.fun/zhong-tian-xin-wen-5.m3u8
中天新闻,https://stream1.freetv.fun/zhong-tian-xin-wen-6.ctv
中天新闻,https://stream1.freetv.fun/zhong-tian-xin-wen-7.ctv
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS新闻,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中天亚洲,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
寰宇新闻,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天电影,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
日本全天新闻,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
龙华日韩,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龙华经典,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龙华电影,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152
东森新闻,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8

翡翠台4K,http://cdn.163189.xyz/live/fct4k/stream.m3u8
TVB PLUS,http://cdn.163189.xyz/live/tvbp/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰资讯,http://cdn3.163189.xyz/live/fhzx/stream.m3u8
TVB J1,http://cdn3.163189.xyz/live/j1/stream.m3u8
HOY TV,http://cdn.163189.xyz/live/hoy/stream.m3u8
澳视澳门,http://cdn.163189.xyz/live/asam/stream.m3u8
澳视卫星,http://cdn.163189.xyz/live/as/stream.m3u8
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8

中視,rtmp://f13h.mine.nu/sat/tv091
台視,rtmp://f13h.mine.nu/sat/tv071
民視,rtmp://f13h.mine.nu/sat/tv051
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
东森超视,rtmp://f13h.mine.nu/sat/tv331
